                                        oof_rocauc_score                                                         test_rocauc_score                                                        
                                                    mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                      
linear_embeds: trx_features_0100.pickle           0.6853  0.6576  0.7130 0.0199  [0.662 0.668 0.687 0.704 0.705]            0.6532  0.6485  0.6579 0.0034  [0.648 0.652 0.654 0.656 0.656]
linear_embeds: trx_features_0150.pickle           0.7008  0.6802  0.7214 0.0148  [0.685 0.689 0.701 0.709 0.721]            0.6898  0.6828  0.6969 0.0051  [0.682 0.688 0.690 0.693 0.696]
linear_embeds: trx_features_0200.pickle           0.7071  0.6861  0.7282 0.0152  [0.691 0.699 0.700 0.719 0.727]            0.6974  0.6923  0.7026 0.0037  [0.692 0.696 0.699 0.699 0.702]
linear_embeds: trx_features_1000.pickle           0.7432  0.7213  0.7651 0.0158  [0.729 0.730 0.737 0.757 0.763]            0.7318  0.7234  0.7401 0.0060  [0.722 0.730 0.734 0.735 0.737]
scores: finetuning_scores                         0.8737  0.8657  0.8817 0.0057  [0.865 0.872 0.874 0.878 0.880]            0.8764  0.8748  0.8781 0.0012  [0.875 0.876 0.876 0.877 0.878]
scores: target_scores                             0.8627  0.8538  0.8716 0.0064  [0.853 0.861 0.863 0.867 0.869]            0.8649  0.8573  0.8724 0.0054  [0.857 0.864 0.864 0.868 0.872]
xgb_baseline                                      0.8709  0.8568  0.8849 0.0101  [0.858 0.866 0.868 0.879 0.883]            0.8679  0.8632  0.8727 0.0034  [0.864 0.865 0.869 0.871 0.871]
xgb_embeds: embeddings_0010.pickle                0.6740  0.6553  0.6927 0.0134  [0.653 0.672 0.677 0.678 0.690]            0.6377  0.6227  0.6526 0.0108  [0.621 0.633 0.642 0.643 0.649]
xgb_embeds: embeddings_0025.pickle                0.7341  0.7187  0.7495 0.0111  [0.724 0.728 0.733 0.734 0.753]            0.7467  0.7244  0.7690 0.0160  [0.722 0.740 0.754 0.758 0.760]
xgb_embeds: embeddings_0050.pickle                0.7762  0.7526  0.7998 0.0170  [0.754 0.766 0.779 0.784 0.798]            0.7806  0.7787  0.7826 0.0014  [0.779 0.780 0.781 0.782 0.782]
xgb_embeds: embeddings_0100.pickle                0.8081  0.7817  0.8346 0.0191  [0.786 0.790 0.813 0.824 0.827]            0.7974  0.7897  0.8050 0.0055  [0.790 0.794 0.796 0.802 0.803]
xgb_embeds: embeddings_0150.pickle                0.8286  0.8119  0.8453 0.0121  [0.810 0.825 0.832 0.833 0.843]            0.8286  0.8183  0.8390 0.0074  [0.817 0.826 0.830 0.834 0.836]
xgb_embeds: embeddings_0200.pickle                0.8337  0.8104  0.8571 0.0168  [0.810 0.828 0.830 0.847 0.852]            0.8406  0.8334  0.8478 0.0052  [0.834 0.839 0.839 0.845 0.847]
xgb_embeds: embeddings_1000.pickle                0.8554  0.8372  0.8736 0.0131  [0.840 0.847 0.853 0.864 0.872]            0.8541  0.8475  0.8607 0.0048  [0.848 0.852 0.855 0.855 0.861]
xgb_embeds: trx_features_0010.pickle              0.6649  0.6501  0.6797 0.0107  [0.648 0.660 0.670 0.671 0.675]            0.6503  0.6431  0.6574 0.0051  [0.644 0.648 0.648 0.653 0.658]
xgb_embeds: trx_features_0025.pickle              0.7237  0.7036  0.7438 0.0145  [0.708 0.718 0.721 0.724 0.747]            0.7347  0.7239  0.7456 0.0078  [0.723 0.733 0.735 0.737 0.745]
xgb_embeds: trx_features_0050.pickle              0.7643  0.7443  0.7844 0.0144  [0.751 0.759 0.759 0.764 0.789]            0.7784  0.7733  0.7834 0.0037  [0.774 0.775 0.778 0.781 0.783]
xgb_embeds: trx_features_0100.pickle              0.8058  0.7773  0.8343 0.0205  [0.781 0.790 0.807 0.822 0.829]            0.7821  0.7709  0.7933 0.0081  [0.775 0.778 0.780 0.782 0.796]
xgb_embeds: trx_features_0150.pickle              0.8254  0.8022  0.8487 0.0168  [0.803 0.817 0.828 0.830 0.849]            0.8255  0.8160  0.8350 0.0069  [0.818 0.823 0.823 0.828 0.836]
xgb_embeds: trx_features_0200.pickle              0.8365  0.8187  0.8543 0.0128  [0.823 0.827 0.834 0.850 0.850]            0.8406  0.8367  0.8445 0.0028  [0.837 0.839 0.842 0.842 0.843]
xgb_embeds: trx_features_1000.pickle              0.8684  0.8506  0.8862 0.0128  [0.855 0.863 0.864 0.871 0.889]            0.8636  0.8592  0.8681 0.0032  [0.859 0.862 0.864 0.865 0.868]
